id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
4000,1,Group Matches,Group A,1998-06-10,0,1,BRA,SCO,Brazil,Scotland,2,1,,,BRA,,,,,,Stade de France,,,,
8725,2,Group Matches,Group A,1998-06-10,0,1,MAR,NOR,Morocco,Norway,2,2,,,,,,,,,Stade de la Mosson,,,,
8726,4,Group Matches,Group B,1998-06-11,0,1,ITA,CHI,Italy,Chile,2,2,,,,,,,,,Stade de Bordeaux,,,,
8727,3,Group Matches,Group B,1998-06-11,0,1,CMR,AUT,Cameroon,Austria,1,1,,,,,,,,,Stade de Toulouse,,,,
8728,7,Group Matches,Group D,1998-06-12,0,1,PAR,BUL,Paraguay,Bulgaria,0,0,,,,,,,,,Stade de la Mosson,,,,
8729,5,Group Matches,Group C,1998-06-12,0,1,KSA,DEN,Saudi Arabia,Denmark,0,1,,,DEN,,,,,,Stade Felix Bollaert,,,,
8730,6,Group Matches,Group C,1998-06-12,0,1,FRA,RSA,France,South Africa,3,0,,,FRA,,,,,,Stade Vélodrome,,,,
8731,10,Group Matches,Group D,1998-06-13,0,1,ESP,NGA,Spain,Nigeria,2,3,,,NGA,,,,,,Stade de la Beaujoire,,,,
8732,9,Group Matches,Group E,1998-06-13,0,1,KOR,MEX,Korea Republic,Mexico,1,3,,,MEX,,,,,,Stade de Gerland,,,,
8733,8,Group Matches,Group E,1998-06-13,0,1,NED,BEL,Netherlands,Belgium,0,0,,,,,,,,,Stade de France,,,,
8734,13,Group Matches,Group H,1998-06-14,0,1,ARG,JPN,Argentina,Japan,1,0,,,ARG,,,,,,Stade de Toulouse,,,,
8735,12,Group Matches,Group F,1998-06-14,0,1,YUG,IRN,Yugoslavia,IR Iran,1,0,,,YUG,,,,,,Stade Geoffroy Guichard,,,,
8736,11,Group Matches,Group H,1998-06-14,0,1,JAM,CRO,Jamaica,Croatia,1,3,,,CRO,,,,,,Stade Felix Bollaert,,,,
8738,14,Group Matches,Group F,1998-06-15,0,1,GER,USA,Germany,USA,2,0,,,GER,,,,,,Parc des Princes,,,,
8739,15,Group Matches,Group G,1998-06-15,0,1,ROU,COL,Romania,Colombia,1,0,,,ROU,,,,,,Stade de Gerland,,,,
8740,16,Group Matches,Group G,1998-06-15,0,1,ENG,TUN,England,Tunisia,2,0,,,ENG,,,,,,Stade Vélodrome,,,,
8741,17,Group Matches,Group A,1998-06-16,0,1,SCO,NOR,Scotland,Norway,1,1,,,,,,,,,Stade de Bordeaux,,,,
8742,18,Group Matches,Group A,1998-06-16,0,1,BRA,MAR,Brazil,Morocco,3,0,,,BRA,,,,,,Stade de la Beaujoire,,,,
8743,19,Group Matches,Group B,1998-06-17,0,1,CHI,AUT,Chile,Austria,1,1,,,,,,,,,Stade Geoffroy Guichard,,,,
8744,20,Group Matches,Group B,1998-06-17,0,1,ITA,CMR,Italy,Cameroon,3,0,,,ITA,,,,,,Stade de la Mosson,,,,
8746,22,Group Matches,Group C,1998-06-18,0,1,RSA,DEN,South Africa,Denmark,1,1,,,,,,,,,Stade de Toulouse,,,,
8745,21,Group Matches,Group C,1998-06-18,0,1,FRA,KSA,France,Saudi Arabia,4,0,,,FRA,,,,,,Stade de France,,,,
8747,23,Group Matches,Group D,1998-06-19,0,1,NGA,BUL,Nigeria,Bulgaria,1,0,,,NGA,,,,,,Parc des Princes,,,,
8748,24,Group Matches,Group D,1998-06-19,0,1,ESP,PAR,Spain,Paraguay,0,0,,,,,,,,,Stade Geoffroy Guichard,,,,
8751,27,Group Matches,Group H,1998-06-20,0,1,JPN,CRO,Japan,Croatia,0,1,,,CRO,,,,,,Stade de la Beaujoire,,,,
8750,26,Group Matches,Group E,1998-06-20,0,1,BEL,MEX,Belgium,Mexico,2,2,,,,,,,,,Stade de Bordeaux,,,,
8749,25,Group Matches,Group E,1998-06-20,0,1,NED,KOR,Netherlands,Korea Republic,5,0,,,NED,,,,,,Stade Vélodrome,,,,
8753,29,Group Matches,Group F,1998-06-21,0,1,GER,YUG,Germany,Yugoslavia,2,2,,,,,,,,,Stade Felix Bollaert,,,,
8752,28,Group Matches,Group H,1998-06-21,0,1,ARG,JAM,Argentina,Jamaica,5,0,,,ARG,,,,,,Parc des Princes,,,,
8754,30,Group Matches,Group F,1998-06-21,0,1,USA,IRN,USA,IR Iran,1,2,,,IRN,,,,,,Stade de Gerland,,,,
8756,32,Group Matches,Group G,1998-06-22,0,1,ROU,ENG,Romania,England,2,1,,,ROU,,,,,,Stade de Toulouse,,,,
8755,31,Group Matches,Group G,1998-06-22,0,1,COL,TUN,Colombia,Tunisia,1,0,,,COL,,,,,,Stade de la Mosson,,,,
8760,36,Group Matches,Group B,1998-06-23,0,1,CHI,CMR,Chile,Cameroon,1,1,,,,,,,,,Stade de la Beaujoire,,,,
8757,33,Group Matches,Group B,1998-06-23,0,1,ITA,AUT,Italy,Austria,2,1,,,ITA,,,,,,Stade de France,,,,
8759,35,Group Matches,Group A,1998-06-23,0,1,BRA,NOR,Brazil,Norway,1,2,,,NOR,,,,,,Stade Vélodrome,,,,
8758,34,Group Matches,Group A,1998-06-23,0,1,SCO,MAR,Scotland,Morocco,0,3,,,MAR,,,,,,Stade Geoffroy Guichard,,,,
8764,40,Group Matches,Group C,1998-06-24,0,1,RSA,KSA,South Africa,Saudi Arabia,2,2,,,,,,,,,Stade de Bordeaux,,,,
8762,38,Group Matches,Group C,1998-06-24,0,1,FRA,DEN,France,Denmark,2,1,,,FRA,,,,,,Stade de Gerland,,,,
8763,39,Group Matches,Group D,1998-06-24,0,1,NGA,PAR,Nigeria,Paraguay,1,3,,,PAR,,,,,,Stade de Toulouse,,,,
8761,37,Group Matches,Group D,1998-06-24,0,1,ESP,BUL,Spain,Bulgaria,6,1,,,ESP,,,,,,Stade Felix Bollaert,,,,
8765,41,Group Matches,Group E,1998-06-25,0,1,BEL,KOR,Belgium,Korea Republic,1,1,,,,,,,,,Parc des Princes,,,,
8766,42,Group Matches,Group E,1998-06-25,0,1,NED,MEX,Netherlands,Mexico,2,2,,,,,,,,,Stade Geoffroy Guichard,,,,
8767,43,Group Matches,Group F,1998-06-25,0,1,GER,IRN,Germany,IR Iran,2,0,,,GER,,,,,,Stade de la Mosson,,,,
8768,44,Group Matches,Group F,1998-06-25,0,1,USA,YUG,USA,Yugoslavia,0,1,,,YUG,,,,,,Stade de la Beaujoire,,,,
8769,45,Group Matches,Group G,1998-06-26,0,1,ROU,TUN,Romania,Tunisia,1,1,,,,,,,,,Stade de France,,,,
8770,46,Group Matches,Group G,1998-06-26,0,1,COL,ENG,Colombia,England,0,2,,,ENG,,,,,,Stade Felix Bollaert,,,,
8772,48,Group Matches,Group H,1998-06-26,0,1,ARG,CRO,Argentina,Croatia,1,0,,,ARG,,,,,,Stade de Bordeaux,,,,
8771,47,Group Matches,Group H,1998-06-26,0,1,JPN,JAM,Japan,Jamaica,1,2,,,JAM,,,,,,Stade de Gerland,,,,
8774,50,Round of 16,,1998-06-27,0,1,ITA,NOR,Italy,Norway,1,0,,,ITA,,,,,,Stade Vélodrome,,,,
8773,49,Round of 16,,1998-06-27,0,1,BRA,CHI,Brazil,Chile,4,1,,,BRA,,,,,,Parc des Princes,,,,
8776,52,Round of 16,,1998-06-28,0,8,FRA,PAR,France,Paraguay,1,0,,,FRA,,,,,,Stade Felix Bollaert,,,,
8775,51,Round of 16,,1998-06-28,0,1,NGA,DEN,Nigeria,Denmark,1,4,,,DEN,,,,,,Stade de France,,,,
8777,53,Round of 16,,1998-06-29,0,1,GER,MEX,Germany,Mexico,2,1,,,GER,,,,,,Stade de la Mosson,,,,
8778,54,Round of 16,,1998-06-29,0,1,NED,YUG,Netherlands,Yugoslavia,2,1,,,NED,,,,,,Stade de Toulouse,,,,
8780,56,Round of 16,,1998-06-30,0,1,ROU,CRO,Romania,Croatia,0,1,,,CRO,,,,,,Stade de Bordeaux,,,,
8779,55,Round of 16,,1998-06-30,0,2,ARG,ENG,Argentina,England,2,2,4.0,3.0,ARG,,,,,,Stade Geoffroy Guichard,,,,
8781,57,Quarter-final,,1998-07-03,0,2,ITA,FRA,Italy,France,0,0,3.0,4.0,FRA,,,,,,Stade de France,,,,
8782,58,Quarter-final,,1998-07-03,0,1,BRA,DEN,Brazil,Denmark,3,2,,,BRA,,,,,,Stade de la Beaujoire,,,,
8784,60,Quarter-final,,1998-07-04,0,1,NED,ARG,Netherlands,Argentina,2,1,,,NED,,,,,,Stade Vélodrome,,,,
