id_match,match_number,stage,group,home_team,away_team,date_utc,time_utc,local_date,local_time
300061454,1,First stage,Group A,RSA,MEX,2010-06-11,14:00,2010-06-11,16:00
300061453,2,First stage,Group A,URU,FRA,2010-06-11,18:30,2010-06-11,20:30
300061459,4,First stage,Group B,KOR,GRE,2010-06-12,11:30,2010-06-12,13:30
300061460,3,First stage,Group B,ARG,NGA,2010-06-12,14:00,2010-06-12,16:00
300061466,5,First stage,Group C,ENG,USA,2010-06-12,18:30,2010-06-12,20:30
300061465,6,First stage,Group C,ALG,SVN,2010-06-13,11:30,2010-06-13,13:30
300061471,8,First stage,Group D,SRB,GHA,2010-06-13,14:00,2010-06-13,16:00
300111116,7,First stage,Group D,GER,AUS,2010-06-13,18:30,2010-06-13,20:30
300061478,9,First stage,Group E,NED,DEN,2010-06-14,11:30,2010-06-14,13:30
300061477,10,First stage,Group E,JPN,CMR,2010-06-14,14:00,2010-06-14,16:00
300061484,11,First stage,Group F,ITA,PAR,2010-06-14,18:30,2010-06-14,20:30
300061483,12,First stage,Group F,NZL,SVK,2010-06-15,11:30,2010-06-15,13:30
300061489,13,First stage,Group G,CIV,POR,2010-06-15,14:00,2010-06-15,16:00
300061490,14,First stage,Group G,BRA,PRK,2010-06-15,18:30,2010-06-15,20:30
300061452,17,First stage,Group A,RSA,URU,2010-06-16,18:30,2010-06-16,20:30
300061495,15,First stage,Group H,HON,CHI,2010-06-16,11:30,2010-06-16,13:30
300111112,16,First stage,Group H,ESP,SUI,2010-06-16,14:00,2010-06-16,16:00
300061458,20,First stage,Group B,ARG,KOR,2010-06-17,11:30,2010-06-17,13:30
300061457,19,First stage,Group B,GRE,NGA,2010-06-17,14:00,2010-06-17,16:00
300061451,18,First stage,Group A,FRA,MEX,2010-06-17,18:30,2010-06-17,20:30
300061470,21,First stage,Group D,GER,SRB,2010-06-18,11:30,2010-06-18,13:30
300061463,22,First stage,Group C,SVN,USA,2010-06-18,14:00,2010-06-18,16:00
300061464,23,First stage,Group C,ENG,ALG,2010-06-18,18:30,2010-06-18,20:30
300111117,25,First stage,Group E,NED,JPN,2010-06-19,11:30,2010-06-19,13:30
300061469,24,First stage,Group D,GHA,AUS,2010-06-19,14:00,2010-06-19,16:00
300061475,26,First stage,Group E,CMR,DEN,2010-06-19,18:30,2010-06-19,20:30
300061488,29,First stage,Group G,BRA,CIV,2010-06-20,18:30,2010-06-20,20:30
300061481,27,First stage,Group F,SVK,PAR,2010-06-20,11:30,2010-06-20,13:30
300061482,28,First stage,Group F,ITA,NZL,2010-06-20,14:00,2010-06-20,16:00
300061493,31,First stage,Group H,CHI,SUI,2010-06-21,14:00,2010-06-21,16:00
300061494,32,First stage,Group H,ESP,HON,2010-06-21,18:30,2010-06-21,20:30
300061487,30,First stage,Group G,POR,PRK,2010-06-21,11:30,2010-06-21,13:30
300061450,33,First stage,Group A,MEX,URU,2010-06-22,14:00,2010-06-22,16:00
300061449,34,First stage,Group A,FRA,RSA,2010-06-22,14:00,2010-06-22,16:00
300111115,35,First stage,Group B,NGA,KOR,2010-06-22,18:30,2010-06-22,20:30
300061455,36,First stage,Group B,GRE,ARG,2010-06-22,18:30,2010-06-22,20:30
300061461,38,First stage,Group C,USA,ALG,2010-06-23,14:00,2010-06-23,16:00
300061462,37,First stage,Group C,SVN,ENG,2010-06-23,14:00,2010-06-23,16:00
300061467,40,First stage,Group D,AUS,SRB,2010-06-23,18:30,2010-06-23,20:30
300061468,39,First stage,Group D,GHA,GER,2010-06-23,18:30,2010-06-23,20:30
300061479,42,First stage,Group F,PAR,NZL,2010-06-24,14:00,2010-06-24,16:00
300061480,41,First stage,Group F,SVK,ITA,2010-06-24,14:00,2010-06-24,16:00
300061473,44,First stage,Group E,CMR,NED,2010-06-24,18:30,2010-06-24,20:30
300061474,43,First stage,Group E,DEN,JPN,2010-06-24,18:30,2010-06-24,20:30
300061492,48,First stage,Group H,SUI,HON,2010-06-25,18:30,2010-06-25,20:30
300061491,47,First stage,Group H,CHI,ESP,2010-06-25,18:30,2010-06-25,20:30
300061486,46,First stage,Group G,PRK,CIV,2010-06-25,14:00,2010-06-25,16:00
300111111,45,First stage,Group G,POR,BRA,2010-06-25,14:00,2010-06-25,16:00
300061504,49,Round of 16,,URU,KOR,2010-06-26,14:00,2010-06-26,16:00
